data-cultivo1-nombre,data-cultivo1-trabajo_comunal,data-cultivo1-obtuvo_producto,data-cultivo1-factores_no_cosecha-se_debio,data-cultivo1-factores_no_cosecha-otro_factor,data-cultivo1-factores_no_cosecha-factores_ambientales,data-cultivo1-factores_no_cosecha-otro_factor_ambiental,data-cultivo1-factores_no_cosecha-factores_manejo,data-cultivo1-factores_no_cosecha-otro_factor_manejo,data-cultivo1-fecha_cosecha-inicio,data-cultivo1-fecha_cosecha-termino,data-cultivo1-momento_cosecha,data-cultivo1-especifique_momento_cosecha,data-cultivo1-foto_cosecha,PARENT_KEY,KEY
Papa,cosecha,si, , , , , , ,20/05/21,26/05/21,madurez_comercial, , ,uuid:41790f7b-df08-402e-8b1e-4063c7610415,uuid:41790f7b-df08-402e-8b1e-4063c7610415/cultivo1[1]
Papa,cosecha,si, , , , , , ,22/08/21,29/08/21,madurez_fisiologica, , ,uuid:679fe9c1-a692-46cc-a8c3-e233035289da,uuid:679fe9c1-a692-46cc-a8c3-e233035289da/cultivo1[1]
Papa,cosecha,si, , , , , , ,30/08/21,30/08/21,madurez_comercial, , ,uuid:21f8a03e-006f-4223-9d46-de9936186d23,uuid:21f8a03e-006f-4223-9d46-de9936186d23/cultivo1[1]
Papa,cosecha,si, , , , , , ,01/07/21,15/07/21,madurez_fisiologica, , ,uuid:2c5eef29-01e8-404c-8fa1-0f54d013a944,uuid:2c5eef29-01e8-404c-8fa1-0f54d013a944/cultivo1[1]
Papa,cosecha,si, , , , , , ,25/06/21,27/06/21,madurez_fisiologica, , ,uuid:c5828ecc-8177-4b61-bfb2-60675f77eb8d,uuid:c5828ecc-8177-4b61-bfb2-60675f77eb8d/cultivo1[1]
Papa,cosecha,si, , , , , , ,28/06/21,29/06/21,madurez_comercial, , ,uuid:ab1932a9-1395-4893-b0d8-5815cfdde43b,uuid:ab1932a9-1395-4893-b0d8-5815cfdde43b/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/08/21,17/08/21,condiciones_agroclimaticas, , ,uuid:68237d2d-6c4d-4650-b12b-442f78951bdd,uuid:68237d2d-6c4d-4650-b12b-442f78951bdd/cultivo1[1]
Papa,cosecha,si, , , , , , ,21/08/21,24/08/21,madurez_comercial, , ,uuid:2ad1ada0-e5b8-4565-87f1-12f580ffe538,uuid:2ad1ada0-e5b8-4565-87f1-12f580ffe538/cultivo1[1]
Papa,cosecha,si, , , , , , ,25/07/21,10/08/21,madurez_fisiologica, , ,uuid:a28667c9-5316-4ebf-b31c-44fe42cfe39a,uuid:a28667c9-5316-4ebf-b31c-44fe42cfe39a/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/09/21,17/09/21,madurez_fisiologica, , ,uuid:9697fc81-263a-455f-a792-5d851a06e418,uuid:9697fc81-263a-455f-a792-5d851a06e418/cultivo1[1]
Papa,cosecha,si, , , , , , ,22/07/21,23/07/21,madurez_fisiologica, , ,uuid:10c4cee7-4e2a-4d22-aaae-2ee1fe488150,uuid:10c4cee7-4e2a-4d22-aaae-2ee1fe488150/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/04/21,15/04/21,madurez_comercial, , ,uuid:5cea03bf-ad1f-4697-99e1-e5aa7961859c,uuid:5cea03bf-ad1f-4697-99e1-e5aa7961859c/cultivo1[1]
Papa,cosecha,si, , , , , , ,14/07/21,15/07/21,madurez_comercial, , ,uuid:ff617348-7291-47e7-a8b7-3e5e2a0c33e7,uuid:ff617348-7291-47e7-a8b7-3e5e2a0c33e7/cultivo1[1]
Papa,cosecha,si, , , , , , ,23/02/21,28/02/21,condiciones_agroclimaticas, , ,uuid:5c1100ae-21bb-41b2-b9a8-3d90ef76148f,uuid:5c1100ae-21bb-41b2-b9a8-3d90ef76148f/cultivo1[1]
Papa,cosecha,si, , , , , , ,10/06/21,11/06/21,condiciones_agroclimaticas, , ,uuid:d500d5fa-8153-42ef-a070-08a6a15f19f0,uuid:d500d5fa-8153-42ef-a070-08a6a15f19f0/cultivo1[1]
Papa,cosecha,si, , , , , , ,08/03/21,10/03/21,condiciones_agroclimaticas, , ,uuid:ea0a986f-c5ed-48b7-8e9d-f464fc54ccdb,uuid:ea0a986f-c5ed-48b7-8e9d-f464fc54ccdb/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/02/21,16/02/21,condiciones_agroclimaticas, , ,uuid:7870be47-fb6a-47e5-be4a-5c750be4ed78,uuid:7870be47-fb6a-47e5-be4a-5c750be4ed78/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/02/21,16/02/21,condiciones_agroclimaticas, , ,uuid:7870be47-fb6a-47e5-be4a-5c750be4ed78,uuid:7870be47-fb6a-47e5-be4a-5c750be4ed78/cultivo1[2]
Papa,cosecha,si, , , , , , ,02/08/21,05/08/21,condiciones_agroclimaticas, , ,uuid:e82402c6-0b0f-4bae-b3e7-4259ec92c41d,uuid:e82402c6-0b0f-4bae-b3e7-4259ec92c41d/cultivo1[1]
Papa,cosecha,si, , , , , , ,19/04/21,20/04/21,condiciones_agroclimaticas, , ,uuid:fef3494a-e1c6-4246-9746-04ff3a95aa63,uuid:fef3494a-e1c6-4246-9746-04ff3a95aa63/cultivo1[1]
Papa,cosecha,si, , , , , , ,01/03/21,02/03/21,condiciones_agroclimaticas, , ,uuid:9f1931dc-7bcc-409e-b203-b46f83876bc8,uuid:9f1931dc-7bcc-409e-b203-b46f83876bc8/cultivo1[1]
Papa,cosecha,si, , , , , , ,05/04/21,06/04/21,ciclo_lunar, , ,uuid:1f7500c2-120d-443e-9558-757e8b49dd53,uuid:1f7500c2-120d-443e-9558-757e8b49dd53/cultivo1[1]
Papa,cosecha,si, , , , , , ,26/04/21,27/04/21,madurez_fisiologica, , ,uuid:26745c3d-3741-4ed3-987c-d1ccfea0dd25,uuid:26745c3d-3741-4ed3-987c-d1ccfea0dd25/cultivo1[1]
Papa,cosecha,si, , , , , , ,07/06/21,12/06/21,madurez_fisiologica, , ,uuid:4d7f1228-78b3-44f0-a10f-9c3287f2c336,uuid:4d7f1228-78b3-44f0-a10f-9c3287f2c336/cultivo1[1]
Papa,siembra,si, , , , , , ,15/10/21,22/10/21,condiciones_agroclimaticas, , ,uuid:fe30cae3-d5ae-444f-880d-9570e991bdf3,uuid:fe30cae3-d5ae-444f-880d-9570e991bdf3/cultivo1[1]
Papa,cosecha,si, , , , , , ,01/03/21,20/03/21,madurez_fisiologica, , ,uuid:7996cd3e-fba3-432d-8321-7ec4d3c88d5d,uuid:7996cd3e-fba3-432d-8321-7ec4d3c88d5d/cultivo1[1]
Papa,cosecha,si, , , , , , ,10/02/21,24/02/21,madurez_fisiologica, , ,uuid:ae595517-424d-4902-9eb5-f911844d1d64,uuid:ae595517-424d-4902-9eb5-f911844d1d64/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/02/21,18/02/21,madurez_fisiologica, , ,uuid:8babc76b-0e19-43ed-b15d-9c533737b12e,uuid:8babc76b-0e19-43ed-b15d-9c533737b12e/cultivo1[1]
Papa,cosecha,si, , , , , , ,17/07/21,15/07/21,madurez_fisiologica, , ,uuid:5d811faa-c9f6-47c1-b5fe-f20e50055f0e,uuid:5d811faa-c9f6-47c1-b5fe-f20e50055f0e/cultivo1[1]
Papa,cosecha,si, , , , , , ,10/03/21,17/03/21,madurez_fisiologica, , ,uuid:c544fe01-1cf6-4a06-9fc0-415002f54fe8,uuid:c544fe01-1cf6-4a06-9fc0-415002f54fe8/cultivo1[1]
Papa,"cosecha, siembra",si, , , , , , ,15/03/21,15/03/21,madurez_fisiologica, , ,uuid:0ef9bb36-7f8d-49a7-bfa6-618c2d08a9ca,uuid:0ef9bb36-7f8d-49a7-bfa6-618c2d08a9ca/cultivo1[1]
Papa,"siembra, cosecha",si, , , , , , ,10/02/21,25/02/21,madurez_fisiologica, , ,uuid:e2f4eca3-a696-45de-8353-33c0b8701878,uuid:e2f4eca3-a696-45de-8353-33c0b8701878/cultivo1[1]
Papa,cosecha,si, , , , , , ,05/01/21,12/01/21,madurez_fisiologica, , ,uuid:a5dde7db-e18f-4a81-a0a1-582821525b3a,uuid:a5dde7db-e18f-4a81-a0a1-582821525b3a/cultivo1[1]
Papa,"cosecha, siembra",si, , , , , , ,06/02/21,13/02/21,madurez_fisiologica, , ,uuid:f63e868f-5fea-4731-9c6e-5aeb9d3ee3f9,uuid:f63e868f-5fea-4731-9c6e-5aeb9d3ee3f9/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/08/21,15/08/21,madurez_fisiologica, , ,uuid:d63af0a9-13a0-4c77-8145-ab7c86ef7e9b,uuid:d63af0a9-13a0-4c77-8145-ab7c86ef7e9b/cultivo1[1]
Papa,cosecha,si, , , , , , ,10/03/21,14/03/21,madurez_fisiologica, , ,uuid:83951c61-605c-4101-b3cb-ca08dd92e18f,uuid:83951c61-605c-4101-b3cb-ca08dd92e18f/cultivo1[1]
Papa,"cosecha, siembra",si, , , , , , ,10/02/21,10/02/21,madurez_fisiologica, , ,uuid:fd151226-d328-410f-8adb-28d1f7184edc,uuid:fd151226-d328-410f-8adb-28d1f7184edc/cultivo1[1]
Papa,cosecha,si, , , , , , ,25/08/21,27/08/21,madurez_fisiologica, , ,uuid:71515233-1f7a-4a94-a7a8-a4de08e3f438,uuid:71515233-1f7a-4a94-a7a8-a4de08e3f438/cultivo1[1]
Papa,"cosecha, siembra",si, , , , , , ,01/08/21,15/08/21,madurez_fisiologica, , ,uuid:63c99e5d-ec2c-4f89-bc90-0a92b8123377,uuid:63c99e5d-ec2c-4f89-bc90-0a92b8123377/cultivo1[1]
Papa,cosecha,si, , , , , , ,05/08/21,12/08/21,madurez_fisiologica, , ,uuid:7b79b686-a86a-472f-8bff-2b97f5d1aafa,uuid:7b79b686-a86a-472f-8bff-2b97f5d1aafa/cultivo1[1]
Papa,"cosecha, siembra",si, , , , , , ,10/08/21,10/08/21,madurez_fisiologica, , ,uuid:c360f435-c884-42cd-9e27-4c7328075eb9,uuid:c360f435-c884-42cd-9e27-4c7328075eb9/cultivo1[1]
